 Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Measured,Mixed,Mixed,Mixed,Mixed,Mixed
Frame,Time, X, Y, Z, Type, X, Y, Z, Type, X, Y, Z, Type
168,1.67,0,0,0,,0,0,0,,-1013.95,520.481,-41.235,Measured
169,1.68,0,0,0,,0,0,0,,-1013.947,520.514,-41.228,Measured
170,1.69,0,0,0,,0,0,0,,-1014.038,520.112,-41.457,Measured
171,1.7,0,0,0,,0,0,0,,-1013.93,520.577,-41.203,Measured
172,1.71,0,0,0,,0,0,0,,-1013.932,520.542,-41.187,Measured
173,1.72,0,0,0,,0,0,0,,-1013.838,520.477,-40.993,Measured
174,1.73,0,0,0,,0,0,0,,-1013.834,520.489,-40.947,Measured
175,1.74,0,0,0,,0,0,0,,-1013.65,520.528,-40.868,Measured
176,1.75,0,0,0,,0,0,0,,-1013.804,520.599,-40.901,Measured
177,1.76,0,0,0,,0,0,0,,-1013.892,520.585,-41.071,Measured
178,1.77,0,0,0,,0,0,0,,-1013.807,520.538,-40.886,Measured
179,1.78,0,0,0,,0,0,0,,-1012.187,514.84,-35.509,Measured
180,1.79,0,0,0,,0,0,0,,-1013.222,511.983,-34.254,Measured
181,1.8,0,0,0,,0,0,0,,-1013.958,520.808,-41.182,Measured
182,1.81,0,0,0,,0,0,0,,-1013.24,512.055,-34.328,Measured
183,1.82,0,0,0,,0,0,0,,-1012.397,512.97,-34.537,Measured
184,1.83,0,0,0,,0,0,0,,-1013.903,520.385,-40.882,Measured
185,1.84,0,0,0,,0,0,0,,-1013.755,520.308,-40.592,Measured
186,1.85,0,0,0,,0,0,0,,-1013.719,520.236,-40.54,Measured
187,1.86,0,0,0,,0,0,0,,-1015.73,523.109,-43.886,Measured
188,1.87,0,0,0,,0,0,0,,-1015.792,523.338,-44.056,Measured
189,1.88,0,0,0,,0,0,0,,-1013.997,520.67,-41.06,Measured
190,1.89,0,0,0,,0,0,0,,-1018.987,525.483,-47.405,Measured
191,1.9,0,0,0,,0,0,0,,-1014.049,520.684,-41.154,Measured
192,1.91,0,0,0,,0,0,0,,-1013.989,520.684,-41.129,Measured
193,1.92,0,0,0,,0,0,0,,-1013.931,520.539,-40.994,Measured
194,1.93,0,0,0,,0,0,0,,-1013.851,520.508,-40.844,Measured
195,1.94,0,0,0,,0,0,0,,-1013.838,520.465,-40.855,Measured
196,1.95,0,0,0,,0,0,0,,-1013.836,520.422,-40.881,Measured
197,1.96,0,0,0,,0,0,0,,-1013.863,520.479,-40.954,Measured
198,1.97,0,0,0,,0,0,0,,-1013.847,520.49,-40.9,Measured
199,1.98,0,0,0,,0,0,0,,-1013.875,520.25,-41.162,Measured
200,1.99,0,0,0,,0,0,0,,-1013.837,520.444,-40.938,Measured
201,2,0,0,0,,0,0,0,,-1013.813,520.482,-40.955,Measured
202,2.01,0,0,0,,0,0,0,,-1013.856,520.861,-41.076,Measured
203,2.02,0,0,0,,0,0,0,,-1013.921,519.892,-41.178,Measured
204,2.03,0,0,0,,0,0,0,,-1013.804,520.38,-40.875,Measured
205,2.04,0,0,0,,0,0,0,,-1013.828,520.716,-41.055,Measured
206,2.05,0,0,0,,0,0,0,,-1013.756,520.517,-40.874,Measured
207,2.06,0,0,0,,0,0,0,,-1013.747,520.552,-40.858,Measured
208,2.07,0,0,0,,0,0,0,,-1013.676,520.393,-40.674,Measured
209,2.08,0,0,0,,0,0,0,,-1013.666,520.355,-40.634,Measured
210,2.09,0,0,0,,0,0,0,,-1013.66,520.362,-40.617,Measured
211,2.1,0,0,0,,0,0,0,,-1013.654,520.445,-40.65,Measured
212,2.11,0,0,0,,0,0,0,,-1013.732,520.511,-40.846,Measured
213,2.12,0,0,0,,0,0,0,,-1013.81,520.102,-41.089,Measured
214,2.13,0,0,0,,0,0,0,,-1013.882,520.41,-40.771,Measured
215,2.14,0,0,0,,0,0,0,,-1013.824,520.47,-40.737,Measured
216,2.15,0,0,0,,0,0,0,,-1013.687,520.468,-40.692,Measured
217,2.16,0,0,0,,0,0,0,,-1013.748,520.527,-40.885,Measured
218,2.17,0,0,0,,0,0,0,,-1013.745,520.514,-40.886,Measured
219,2.18,0,0,0,,0,0,0,,-1013.731,520.577,-40.856,Measured
220,2.19,0,0,0,,0,0,0,,-1013.717,520.627,-40.853,Measured
221,2.2,0,0,0,,0,0,0,,-1013.786,520.179,-41.124,Measured
222,2.21,0,0,0,,0,0,0,,-1013.705,520.533,-40.924,Measured
223,2.22,0,0,0,,0,0,0,,-1013.691,520.533,-40.896,Measured
224,2.23,0,0,0,,0,0,0,,-1013.683,520.582,-40.869,Measured
225,2.24,0,0,0,,0,0,0,,-1013.753,520.51,-40.764,Measured
226,2.25,0,0,0,,0,0,0,,-1013.817,520.473,-40.798,Measured
227,2.26,0,0,0,,0,0,0,,-1013.798,520.504,-40.794,Measured
228,2.27,0,0,0,,0,0,0,,-1013.611,520.488,-40.701,Measured
229,2.28,0,0,0,,0,0,0,,-1013.734,520.792,-41.028,Measured
230,2.29,0,0,0,,0,0,0,,-1013.713,520.365,-40.526,Measured
231,2.3,0,0,0,,0,0,0,,-1013.709,520.473,-40.965,Measured
232,2.31,0,0,0,,0,0,0,,-1013.661,520.167,-41.215,Measured
233,2.32,0,0,0,,0,0,0,,-1013.734,520.923,-41.128,Measured
234,2.33,0,0,0,,0,0,0,,-1013.795,520.024,-41.243,Measured
235,2.34,0,0,0,,0,0,0,,-1013.783,520.643,-41.137,Measured
236,2.35,0,0,0,,0,0,0,,-1013.785,520.657,-41.131,Measured
237,2.36,0,0,0,,0,0,0,,-1013.543,520.163,-40.493,Measured
238,2.37,0,0,0,,0,0,0,,-1013.717,520.481,-40.957,Measured
239,2.38,0,0,0,,0,0,0,,-1013.529,520.124,-40.538,Measured
240,2.39,0,0,0,,0,0,0,,-1013.783,520.397,-40.887,Measured
241,2.4,0,0,0,,0,0,0,,-1013.846,520.547,-41.17,Measured
242,2.41,0,0,0,,0,0,0,,-1013.775,520.707,-41.149,Measured
243,2.42,0,0,0,,0,0,0,,-1013.834,520.627,-41.18,Measured
244,2.43,0,0,0,,0,0,0,,-1013.707,520.728,-41.218,Measured
